level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
monica,AUS_1983_MONICA-NEWa,Australia,AUS,Yes,1983,1983,1983,"MONICA, Newcastle",MONICA-NEWa,Subnational,urban, 35-64, 35-64,1194,1197,,,1169,1150,1160,1147,1160,1147,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
individual,AUS_1989_DSAE,Australia,AUS,Yes,1988,1989,1989,Dubbo Study of Australian Elderly,DSAE,Community,urban, 59+, 59+,1216,877,1213,869,1215,875,1215,875,1215,875,1216,877,1216,877,,,1,1,,,,,,High-income English-speaking countries,High-income Western countries
individual,AUS_1989_RFPS,Australia,AUS,Yes,1989,1989,1989,Risk Factor Prevalence Study,RFPS,National,urban, 20-69, 20-69,4611,4501,4593,4419,4611,4501,4611,4500,4611,4500,4610,4500,4611,4501,4727,4552,1,1,,,,,,High-income English-speaking countries,High-income Western countries
monica,AUS_1989_MONICA-NEWa,Australia,AUS,Yes,1988,1989,1989,"MONICA, Newcastle",MONICA-NEWa,Subnational,urban, 35-64, 35-64,654,668,,,654,666,654,666,654,666,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
monica,AUS_1989_MONICA-NEWa-Y,Australia,AUS,Yes,1988,1989,1989,"MONICA, Newcastle",MONICA-NEWa-Y,Community,urban, 25-34, 25-34,83,70,,,83,70,83,70,83,70,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
individual,AUS_1992_APCSC-ALSA,Australia,AUS,Yes,1992,1993,1992,Australia Longitudinal Study of Ageing,APCSC-ALSA,Community,urban, 65+, 65+,550,600,535,589,550,599,550,599,550,599,550,600,550,600,,,0,1,,,,,,High-income English-speaking countries,High-income Western countries
monica,AUS_1994_MONICA-NEWa,Australia,AUS,Yes,1994,1994,1994,"MONICA, Newcastle",MONICA-NEWa,Subnational,urban, 35-64, 35-64,676,627,,,675,625,675,625,675,625,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
monica,AUS_1994_MONICA-PER2,Australia,AUS,Yes,1994,1994,1994,"MONICA, Perth inner",MONICA-PER2,Community,urban, 25-64, 25-64,338,356,,,338,356,338,356,338,356,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
monica,AUS_1994_MONICA-PER3,Australia,AUS,Yes,1994,1994,1994,"MONICA, Perth outer",MONICA-PER3,Community,urban, 25-64, 25-64,374,370,,,374,370,374,370,374,370,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
individual,AUS_2000_AusDiab,Australia,AUS,Yes,1999,2000,2000,"The Australian Diabetes, Obesity and Lifestyle Study 1999-2000",AusDiab,National,both, 25+, 25+,6138,5047,6075,4889,6137,5045,6137,5045,6137,5045,6138,5046,6138,5047,6058,5003,1,1,12.2154617,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
individual,AUS_2001_NWAHS,Australia,AUS,Yes,1999,2003,2001,North West Adelaide Health Study,NWAHS,Community,urban, 18+, 18+,2103,1902,2087,1852,2103,1903,2103,1901,2103,1901,1673,1513,2103,1902,800,728,0,1,,,,,,High-income English-speaking countries,High-income Western countries
individual,AUS_2004_Nepean,Australia,AUS,Yes,2004,2004,2004,The Nepean Longitudinal Cohort Study,Nepean,Community,urban, 14-15, 14-15,80,94,80,94,80,94,80,94,80,94,80,94,80,94,,,1,1,,,,,,High-income English-speaking countries,High-income Western countries
individual,AUS_2005_AusDiab,Australia,AUS,Yes,2004,2005,2005,"The Australian Diabetes, Obesity and Lifestyle Study 2004-2005",AusDiab,National,both, 30+, 30+,3444,2852,3425,2803,3442,2851,3442,2851,3442,2851,3444,2852,3444,2852,3449,2859,1,1,11.89894869,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
individual,AUS_2005_NWAHS,Australia,AUS,Yes,2004,2006,2005,North West Adelaide Health Study,NWAHS,Community,urban, 20+, 20+,1674,1513,1655,1457,1674,1513,1674,1513,1674,1513,1673,1513,1674,1513,1610,1433,1,1,,,,,,High-income English-speaking countries,High-income Western countries
individual,AUS_2009_NWAHS,Australia,AUS,Yes,2008,2010,2009,North West Adelaide Health Study,NWAHS,Community,urban, 24+, 24+,1301,1153,1296,1137,1301,1153,1301,1153,1301,1153,1301,1153,1301,1153,1194,1036,1,1,,,,,,High-income English-speaking countries,High-income Western countries
summary,AUS_2012_AHS,Australia,AUS,Yes,2011,2012,2012,Australian Health Survey,AHS,National,both, 12+, 12+,5564,4572,4463,3582,5564,4572,5564,4572,5564,4572,4480,3655,5566,4572,,,1,1,8,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
individual,AUS_2012_AusDiab,Australia,AUS,Yes,2012,2012,2012,"The Australian Diabetes, Obesity and Lifestyle Study 2012",AusDiab,National,both, 37+, 37+,2535,2046,2527,2007,2536,2046,2535,2046,2535,2046,2536,2046,2535,2046,1026,880,1,1,11.49790426,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
last round,AUT_1986_10040002,Austria,AUT,No,NA,NA,1986,"CINDI; Schwarz, 1992 (37)",NA,Community,urban, 25-64, 25-64,715,657,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
individual,AUT_1991_CINDI,Austria,AUT,Yes,1991,1991,1991,CINDI survey Vorarlberg/Austria,CINDI,Subnational,both, 25-64, 25-64,736,697,679,634,686,653,686,653,686,653,736,697,736,697,,,1,1,,,,,,North Western Europe,High-income Western countries
individual,AUT_1992_VHMPP,Austria,AUT,Yes,1992,1992,1992,Vorarlberg Health Monitoring and Promotion Programme,VHMPP,Subnational,both, 18+, 18+,18837,14162,,,,,,,,,18833,14156,18837,14162,,,,1,,lab,,,lab,North Western Europe,High-income Western countries
individual,AUT_1998_VHMPP,Austria,AUT,Yes,1998,1998,1998,Vorarlberg Health Monitoring and Promotion Programme,VHMPP,Subnational,both, 18+, 18+,20918,16154,,,,,,,,,20917,16148,20918,16154,,,,1,,lab,,,lab,North Western Europe,High-income Western countries
individual,AUT_1999_CINDI,Austria,AUT,Yes,1998,1999,1999,CINDI survey Vorarlberg/Austria,CINDI,Subnational,both, 25-64, 25-64,350,347,348,335,349,346,349,346,349,346,350,346,350,347,,,1,1,,,,,,North Western Europe,High-income Western countries
individual,AUT_2004_VHMPP,Austria,AUT,Yes,2004,2004,2004,Vorarlberg Health Monitoring and Promotion Programme,VHMPP,Subnational,both, 18+, 18+,23893,20162,,,,,,,,,23895,20156,23893,20162,,,,1,,lab,,,lab,North Western Europe,High-income Western countries
individual,AUT_2007_HELENA,Austria,AUT,Yes,2006,2007,2007,HELENA,HELENA,Community,urban, 12-17, 12-17,64,47,64,47,64,47,64,47,64,47,64,47,64,47,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,AUT_2011_ASNS,Austria,AUT,Yes,2010,2012,2011,Austrian Study on Nutritional Status 2012,ASNS,National,both, 10-80, 10-80,481,371,479,369,479,370,479,370,479,370,479,369,481,371,,,1,1,,,,,,North Western Europe,High-income Western countries
individual,AUT_2016_EVA,Austria,AUT,Yes,2015,2017,2016,EVA Tyrol Study Austria North East Tyrol,EVA,Subnational,both, 14-17, 14-17,833,683,833,683,833,683,833,683,833,683,833,682,833,683,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,AZE_2017_STEPS,Azerbaijan,AZE,Yes,2017,2017,2017,STEPS,STEPS,National,both, 18-69, 18-69,1576,1088,,,1571,1084,1500,1012,1500,1012,,,1576,1088,1579,1090,,,,cardiocheck,,cardiocheck,,Central Asia,Central Asia and North Africa-Middle East
individual,BGD_2018_STEPS,Bangladesh,BGD,Yes,2018,2018,2018,STEPS,STEPS,National,both, 18-69, 18-69,3805,3249,3787,3221,,,,,,,,,3805,3249,89,98,1,,,,,,,South Asia,South Asia
individual,BRB_2012_HotN,Barbados,BRB,Yes,2011,2013,2012,Health of the Nation (HotN),HotN,National,both, 25+, 25+,669,425,668,425,607,389,598,382,598,382,669,425,669,425,,,1,1,,reflotron,reflotron,reflotron,reflotron,Caribbean,Latin America and Caribbean
individual,BLR_2017_STEPS,Belarus,BLR,Yes,2016,2017,2017,STEPS,STEPS,National,both, 18-69, 18-69,2788,2009,,,2786,2003,2749,1960,2749,1960,,,2788,2009,2788,2009,,,,cardiocheck,,cardiocheck,,Eastern Europe,Central and Eastern Europe
report,BEL_1984_MONICA-LUXa,Belgium,BEL,Report,1983,1985,1984,"MONICA, Luxembourg",MONICA-LUXa,Community,urban, 35-64, 35-64,953,980,,,953,980,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,BEL_1985_BIRNH,Belgium,BEL,Yes,1984,1985,1985,Belgian Interuniversity Research on Nutrition and Health,BIRNH,National,both, 25-74, 25-74,5037,5735,,,5017,5668,5015,5667,5015,5667,,,5037,5735,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,BEL_1986_MONICA-CHAa,Belgium,BEL,Yes,1985,1987,1986,"MONICA, Charleroi",MONICA-CHAa,Community,urban, 25-64, 25-64,304,337,,,304,334,304,334,304,334,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,BEL_1986_MONICA-GHEa,Belgium,BEL,Yes,1985,1987,1986,"MONICA, Ghent",MONICA-GHEa,Community,urban, 25-64, 25-64,434,537,,,432,531,432,531,432,531,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
individual,BEL_1988_FLEMENGHO,Belgium,BEL,Yes,1985,1990,1988,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 20-90, 20-90,653,635,,,481,468,481,468,481,468,,,653,635,723,700,,,2.197231097,lab,,lab,,North Western Europe,High-income Western countries
monica,BEL_1989_MONICA-GHEa,Belgium,BEL,Yes,1988,1990,1989,"MONICA, Ghent",MONICA-GHEa,Community,urban, 25-64, 25-64,416,443,,,415,441,415,441,415,441,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,BEL_1989_MONICA-CHAa,Belgium,BEL,Yes,1987,1990,1989,"MONICA, Charleroi",MONICA-CHAa,Community,urban, 25-64, 25-64,266,305,,,266,302,266,302,266,302,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,BEL_1991_MONICA-CHAa,Belgium,BEL,Yes,1990,1993,1991,"MONICA, Charleroi",MONICA-CHAa,Community,urban, 25-64, 25-64,271,298,,,266,296,266,296,266,296,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,BEL_1991_MONICA-GHEa,Belgium,BEL,Yes,1990,1992,1991,"MONICA, Ghent",MONICA-GHEa,Community,urban, 25-64, 25-64,445,498,,,445,498,445,498,445,498,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
individual,BEL_1992_FLEMENGHO,Belgium,BEL,Yes,1991,1994,1992,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 26-88, 26-88,396,388,358,320,396,386,396,386,396,386,396,387,396,388,421,397,1,1,2.503174603,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_1997_FLEMENGHO,Belgium,BEL,Yes,1996,1998,1997,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 10-84, 10-84,390,392,384,368,389,390,389,390,389,390,390,392,390,392,402,404,1,0,2.074754245,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_1998_FLEMENGHO,Belgium,BEL,Yes,1998,1998,1998,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 32-86, 32-86,351,319,346,296,351,319,351,319,351,319,351,318,351,319,359,320,1,0,1.993922505,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2000_FLEMENGHO,Belgium,BEL,Yes,1999,2001,2000,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 10-81, 10-81,253,233,251,215,253,233,253,233,253,233,253,233,253,233,255,234,1,0,1.93562963,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2001_FLEMENGHO,Belgium,BEL,Yes,2001,2001,2001,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 10-78, 10-78,222,241,206,195,222,241,222,241,222,241,222,240,222,241,222,243,1,0,1.993687452,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2002_FLEMENGHO,Belgium,BEL,Yes,2002,2003,2002,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 10-81, 10-81,199,177,197,166,199,177,199,177,199,177,199,177,199,177,200,180,1,0,,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2003_EMAS,Belgium,BEL,Yes,2003,2003,2003,The European Male Ageing Study,EMAS,Community,both, , 40+,,445,,438,,444,,444,,444,,444,,445,,,1,1,,,,,,North Western Europe,High-income Western countries
individual,BEL_2004_FLEMENGHO,Belgium,BEL,Yes,2002,2005,2004,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 10-88, 10-88,454,442,447,417,454,441,454,441,454,441,454,442,454,442,462,447,1,0,1.893709884,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2007_FLEMENGHO,Belgium,BEL,Yes,2005,2008,2007,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 10-89, 10-89,467,460,466,450,467,460,467,460,467,460,467,460,467,460,473,464,1,1,7.249510358,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2007_HELENA,Belgium,BEL,Yes,2006,2007,2007,HELENA,HELENA,Community,urban, 12-17, 12-17,53,58,53,58,53,58,53,58,53,58,53,58,53,58,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,BEL_2008_EMAS,Belgium,BEL,Yes,2008,2008,2008,The European Male Ageing Study,EMAS,Community,both, , 40+,,377,,375,,378,,376,,376,,379,,377,,276,1,1,,,,,,North Western Europe,High-income Western countries
individual,BEL_2011_FLEMENGHO,Belgium,BEL,Yes,2009,2013,2011,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 20-88, 20-88,332,328,331,324,331,327,331,327,331,327,332,328,332,328,335,330,1,1,9.806037544,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,BEL_2013_FLEMENGHO,Belgium,BEL,Yes,2010,2015,2013,"Flemish Study on Environment, Genes and Health Outcomes",FLEMENGHO,Community,rural, 15-87, 15-87,397,388,395,387,397,388,397,388,397,388,397,388,397,388,411,391,1,1,9.592255028,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,BEL_2014_IDEFICS-IFAMILY,Belgium,BEL,Yes,2013,2014,2014,IDEFICS/ I.Family-study,IDEFICS-IFAMILY,Community,both, 10-15, 10-15,99,70,99,70,99,70,99,70,99,70,99,70,99,70,,,0,1,min 8 hours,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,BEL_2019_EHES,Belgium,BEL,Yes,2018,2019,2019,Belgian Health Examination Survey ,EHES,National,both, 18+, 18+,524,471,,,524,473,524,471,524,471,491,447,524,471,,,,,,lab,,lab,lab,North Western Europe,High-income Western countries
individual,BLZ_2005_CAMDI,Belize,BLZ,Yes,2004,2005,2005,CAMDI,CAMDI,National,both, 20+, 20+,1021,600,1011,590,1019,600,1021,602,1021,603,,,1021,600,,,0,1,,lab,lab,lab,,Caribbean,Latin America and Caribbean
individual,BEN_2007_STEPS,Benin,BEN,Yes,2007,2007,2007,STEPS,STEPS,Community,urban, 25-64, 25-64,,,,,,,,,,,,,,,,,,,,,,,,West Africa,Sub-Saharan Africa
individual,BEN_2008_STEPS,Benin,BEN,Yes,2008,2008,2008,STEPS,STEPS,National,both, 25-64, 25-64,1939,1825,,,,,,,,,,,1939,1825,,,,,,accutrend,,,,West Africa,Sub-Saharan Africa
individual,BEN_2015_STEPS,Benin,BEN,Yes,2015,2015,2015,STEPS,STEPS,National,both, 18-69, 18-69,2526,2278,,,,,,,,,,,2526,2278,2531,2298,,,,cardiocheck,,,,West Africa,Sub-Saharan Africa
individual,BTN_2007_STEPS,Bhutan,BTN,Yes,2007,2007,2007,STEPS,STEPS,Community,urban, 25-74, 25-74,1320,1126,1203,1012,1223,1049,1220,1046,1221,1048,1324,1132,1320,1126,,,1,,,,,,,South Asia,South Asia
individual,BTN_2014_STEPS,Bhutan,BTN,Yes,2014,2014,2014,STEPS,STEPS,National,both, 18-69, 18-69,1650,1049,,,,,,,,,,,1650,1049,1647,1053,,,,cardiocheck,,,,South Asia,South Asia
individual,BOL_2006_citBayaBotti,Bolivia,BOL,Yes,2005,2007,2006,"Cardiovascular and metabolic syndrome risk assessment of Bolivian school children and adolescents – Relationships to obesity, diabetes, income, food intake and physical activity",citBayaBotti,National,both, 12-18, 12-18,1514,1211,1313,1023,1404,1103,1337,1033,1340,1035,1530,1251,1514,1211,,,1,1,,,,,,Andean Latin America,Latin America and Caribbean
individual,BIH_2012_NCDRFS_rural,Bosnia and Herzegovina,BIH,Yes,2012,2012,2012,"Non-communicable disease risk factor survey, Federation of B&H",NCDRFS_rural,Subnational,rural, 18+, 18+,1253,1159,,,,,,,,,1212,1121,1253,1159,,,,,12.23243243,,,,,Central Europe,Central and Eastern Europe
individual,BIH_2012_NCDRFS_urban,Bosnia and Herzegovina,BIH,Yes,2012,2012,2012,"Non-communicable disease risk factor survey, Federation of B&H",NCDRFS_urban,Subnational,urban, 18+, 18+,688,571,,,,,,,,,678,559,688,571,,,,,12.41320293,,,,,Central Europe,Central and Eastern Europe
individual,BWA_2014_STEPS,Botswana,BWA,Yes,2014,2014,2014,STEPS,STEPS,National,both, 15-69, 15-69,2276,1113,,,2304,1131,1779,778,1784,781,,,2276,1113,2318,1142,,,,cardiocheck,,cardiocheck,,Southern Africa,Sub-Saharan Africa
last round,BRA_1991_14076003,Brazil,BRA,No,NA,NA,1991,"Fornes, 2000 (83)",NA,Community,urban, 20-99, 20-99,548,387,,,,,,,,,,,,,,,,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
last round,BRA_1992_14076005,Brazil,BRA,No,NA,NA,1992,"EPIDOSO; Ramos, 2003 (84)",NA,Community,urban, 65+, 65+,280,158,,,,,,,,,,,,,,,,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_1997_Bambui,Brazil,BRA,Yes,1996,1997,1997,The Bambui Cohort Study of Ageing,Bambui,Community,urban, 18+, 18+,1368,947,1336,923,1368,947,1368,947,1368,947,1368,947,1368,947,1389,974,1,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_1998_BHHS,Brazil,BRA,Yes,1998,1998,1998,Belo Horizonte Heart Study,BHHS,Community,urban, 10-18, 10-18,517,421,517,420,517,421,517,421,517,421,,,517,421,,,1,0,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2000_riogrande,Brazil,BRA,Yes,1999,2000,2000,Prevalence of Risk Factors for Coronary Artery Disease in the State of Rio Grande do Sul,riogrande,Subnational,urban, 20+, 20+,519,463,,,,,,,,,,,519,463,480,465,,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
summary,BRA_2000_PBC82,Brazil,BRA,Yes,2000,2000,2000,The 1982 Pelotas (Brazil) Birth Cohort: 18 years follow-up,PBC82,Community,urban,18, ,,2079,,2057,,2059,,2055,,2055,,2056,,2079,,,1,0,,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2004_SPAH,Brazil,BRA,Yes,2003,2005,2004,São Paulo Health & Ageing Study,SPAH,Community,urban, 65+, 65+,1190,762,1175,753,1190,762,1190,762,1190,762,440,285,1190,762,,,0,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2004_CAJUVDG,Brazil,BRA,Yes,2004,2004,2004,Caju & Virgen das Gracas,CAJUVDG,Community,rural, 18+, 18+,275,268,275,268,275,268,275,268,275,268,275,268,275,268,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2004_RibeiraPreto,Brazil,BRA,Yes,2002,2004,2004,Ribeira Preto Birth Cohort,RibeiraPreto,Community,urban, 22-25, 22-25,1067,1007,1066,1000,1067,1006,1067,1006,1067,1006,1067,1006,1067,1007,,,0,1,12,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2005_HOB,Brazil,BRA,Yes,2004,2006,2005,Hearts of Brazil,HOB,National,urban, 18+, 18+,394,347,,,,,,,,,485,431,394,347,659,580,0,1,,accutrend,,,accutrend,Southern and Tropical Latin America,Latin America and Caribbean
summary,BRA_2005_PBC82,Brazil,BRA,Yes,2004,2005,2005,The 1982 Pelotas (Brazil) Birth Cohort: 23 years follow-up,PBC82,Community,urban,23,23,,,,,1906,1918,,,,,1906,1917,,,,,,,,,,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2006_OPS,Brazil,BRA,Yes,2006,2006,2006,The Ouro Preto Study,OPS,Community,urban, 10-14, 10-14,247,234,246,234,247,234,247,234,247,234,247,234,247,234,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2008_Bambui,Brazil,BRA,Yes,2008,2008,2008,The Bambui Cohort Study of Ageing,Bambui,Community,urban, 71+, 71+,473,253,463,252,473,253,473,253,473,253,472,253,473,253,518,266,1,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2008_CAJUVDG,Brazil,BRA,Yes,2008,2008,2008,Caju & Virgen das Gracas,CAJUVDG,Community,rural, 18+, 18+,278,249,278,247,278,248,278,248,278,248,278,249,278,249,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2009_MetS,Brazil,BRA,Yes,2008,2010,2009,"Machado-Rodrigues et al., Ann Hum Biol 2013; 41: 271-6",MetS,Community,urban, 10-18, 10-18,481,348,481,349,481,346,481,345,481,345,481,348,481,348,,,0,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2010_SP,Brazil,BRA,Yes,2010,2010,2010,San Pedro,SP,Community,rural, 18+, 18+,208,150,208,149,208,150,208,150,208,150,208,150,208,150,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2012_PBC93,Brazil,BRA,Yes,2011,2012,2012,The 1993 Pelotas (Brazil) Birth Cohort: 18 years follow-up,PBC93,Community,urban, 17-19, 17-19,1936,1933,1936,1932,1936,1933,1936,1933,1936,1933,1933,1932,1936,1933,,,0,0,3.173760424,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
